Product URL,Product Name,Product Price,Rating,Number of Reviews
/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹649,3.6,164
/Quicknik-Duffle-Bags-Travel-Women/dp/B0BZ2ZWXYJ,Quicknik Bag Duffle Bags for Travel Women Luggage Bags for Travelling Large Capacity Folding Bag Lightweight Waterproof & Foldable Weekender Shoulder Bag with Dry & Wet Pocket Tote Handbag (Pink),₹399,3.5,100
/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",₹799,4.1,"2,635"
/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F,Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),₹987,4.4,"6,502"
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",4.2,"1,417"
/Safari-Overnighter-Resistant-Polyester-Travelling/dp/B097JK3X9D,"Safari Crew Overnighter Backpack, 40 Ltr Water Resistant Travel Laptop Bag, Black Polyester Backpack for Men and Women, Spacious Shoulder Bag for Travelling and Camping","₹1,799",4.3,230
/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),₹649,3.8,"1,863"
/Priority-Disney-Princess-Casual-Backpack/dp/B0849PHNG1,Priority Disney Snow White 20 litres Pink Polyester Kids School Bag | Casual Backpack for Girls (25156),₹349,3.9,"4,144"
/BEAUTY-GIRLS-HOTSHOT-School-1565/dp/B0BFXCHQZ5,"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",₹499,3.7,273
/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"₹1,349",4.1,"1,371"
